year,cms_official_anchor,cms_official_anchor_yoy,medical_cpi_proxy,oriel_healthcare_spot,public_print_basis_bps,anchor_basis_bps
2020,143,,0.0,0.0,0.0,0.0
2021,150,4.895104895104896,4.503496503496504,4.67972027972028,17.622377622377616,-21.53846153846155
2022,160,6.666666666666665,5.318414918414918,5.925128205128205,60.671328671328695,-74.15384615384602
2023,174,8.749999999999991,7.091666666666662,7.83791666666666,74.6249999999998,-91.20833333333307
2024,188,8.045977011494255,7.726149425287352,7.87007183908046,14.392241379310722,-17.590517241379544
